"Health Experts Caution Over Disinfectants, Cleaning Methods Used in Rush to Reopen","Businesses across the U.S. have begun intensive Covid-19 disinfection regimens, exposing returning workers and consumers to some chemicals that are largely untested for human health, a development that’s alarming health and environmental safety experts. The r…",2020-06-16T13:17:51Z
"Wells Fargo Investment Institute Releases Midyear Outlook ‘Recession, Recovery, and Resilience’","SAN FRANCISCO--(BUSINESS WIRE)--Wells Fargo Investment Institute (WFII) today released its “2020 Midyear Outlook: Recession, Recovery and Resilience,” calling for a deep but short recession and a gradual U.S. economic recovery beginning in the second half of …",2020-06-16T13:10:59Z
Washington D.C.’s 25 Most Powerful People Real Estate Players in 2019,Painting the words “Black Lives Matter” on 16th Street in front of Lafayette Square could be described as the ultimate power move. Mayor Muriel Bowser has power. And she wields it. We’ve said before that the word “power” means something different in Washingto…,2020-06-16T13:00:51Z
Net Lease REITs: 'Social Distancing' Hits Key Tenants,"Typically viewed as bond-proxies, net lease REITs haven't performed like the safe-haven they were believed to be amid the ongoing coronavirus pandemic, dipping",2020-06-16T13:00:00Z
Why Ryman Hospitality Could Be A Double - Behind The Idea,"Ryman impressed last week at the NAREIT conference. The company owns 5 large, conference resort destinations, unique high-end properties unlikely to be disinter",2020-06-16T13:00:00Z
Alexandria RE Is Pricing In Way Too Much Growth,ARE has rallied sharply from the panic low set in March. The problem is that AFFO-per-share is expected to be only slightly higher next year than in 2019. With,2020-06-16T12:40:35Z
How Much Has the World Changed? (Not much),“This changes everything!”   That declaration should always be greeted with extreme skepticism. Your daily sheltering-in-place experiences are definitely different from what you previously thought of as your “normal” life. But what you should expect to experi…,2020-06-16T12:25:09Z
Small businesses stare into the abyss — Homeless residents left in the dark about Covid spread — Relatives of New Yorkers killed by police rebuke Cuomo,,2020-06-16T11:19:28Z
Place Your Bets: An In-Depth Look At The Gaming REIT Sector,"We view the gaming REIT sector as opportunistic, although investors should consider the risks. We like the fact that gaming REITs utilize long-term leases with",2020-06-16T11:00:00Z
Out of the box thinking: Akshaya to reboot apartment design post-COVID,"Chennai-based real estate developer, Akshaya is planning to work on a series of design initiatives for homes. Exclusive rooms for hygiene and quaranti",2020-06-16T10:42:08Z
The World Economic Forum's 2020 Technology Pioneers - World Economic Forum,This year’s Technology Pioneers includes leaders in everything from alternative meat to circular economies.,2020-06-16T07:58:59Z
India ninth-largest recipient of FDI in 2019 with $51 billion: UN,"The World Investment Report 2020 by the UNCTAD said that India was the 9th largest recipient of FDI in 2019, with $51 billion dollars of inflows during the year",2020-06-16T07:48:00Z
Property developers see the need for adoption of tech-tools in selling,Use of tech tools in the realty space did not see much traction until recently. Covid-19 and successive lock downs in the aftermath - to contain/ control the spread - seems to have ushered property de,2020-06-16T07:17:52Z
India Ninth Largest Recipient Of FDI In 2019: United Nations Trade Body,"In 2019, FDI flows to the region declined 5 per cent to $474 billion, despite gains in South- East Asia, China and India.",2020-06-16T07:03:10Z
"India 9th largest recipient of FDI in 2019, will continue to attract investments: UN","In its report, the UN Conference on Trade and Development (UNCTAD) said India will continue to attract market-seeking investments to the country and hence, witness a lower but positive economic growth in the post-COVID-19 pandemic period.  India was the 9th l…",2020-06-16T06:21:26Z
"India 9th largest recipient of FDI in 2019, will continue to attract investments: UN","In its report, the UN Conference on Trade and Development (UNCTAD) said India will continue to attract market-seeking investments to the country and hence, witness a lower but positive economic growth in the post-COVID-19 pandemic period.  India was the 9th l…",2020-06-16T06:21:26Z
